time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1644445866.0099623,9.557,0.0,0.0,0.14300000000000002,0.0,1.0,0.95,0.9520000000000001,0.95,65.0,73.0,72.0,63.0,
1644445866.2104063,9.573,0.15,0.05,0.1,0.05,0.8,0.8,0.684,0.7,59.0,68.0,66.0,58.0,
1644445866.4108787,9.573,0.055999999999999994,0.0,0.105,0.0,0.9,0.833,0.85,0.833,65.0,72.0,71.0,62.0,
1644445866.611341,9.573,0.15,0.0,0.1,0.0,1.0,0.9520000000000001,0.95,0.95,66.0,73.0,72.0,63.0,
1644445866.8118012,9.573,0.067,0.055999999999999994,0.053,0.0,0.75,0.632,0.6,0.636,63.0,69.0,68.0,60.0,
1644445867.0122504,9.573,0.16699999999999998,0.0,0.1,0.0,1.0,0.9520000000000001,0.95,0.95,65.0,73.0,72.0,63.0,
1644445867.2126975,9.34,0.14300000000000002,0.0,0.095,0.05,0.9,0.81,0.8,0.81,61.0,69.0,67.0,59.0,
1644445867.4131436,9.34,0.055999999999999994,0.05,0.1,0.0,0.81,0.737,0.75,0.722,64.0,72.0,71.0,62.0,
1644445867.6135936,9.34,0.053,0.0,0.053,0.0,1.0,0.95,0.9470000000000001,1.0,65.0,73.0,72.0,63.0,
1644445867.8146544,9.34,0.2,0.0,0.1,0.1,0.667,0.6,0.619,0.65,61.0,68.0,68.0,60.0,
1644445868.0149252,9.34,0.0,0.0,0.0,0.0,1.0,0.95,0.9470000000000001,0.95,65.0,72.0,71.0,62.0,
1644445868.215318,10.596,0.158,0.0,0.0,0.0,1.0,0.905,0.9,0.9,62.0,70.0,68.0,60.0,
1644445868.4160223,10.596,0.2,0.136,0.0,0.05,0.75,0.727,0.667,0.65,64.0,71.0,70.0,61.0,
1644445868.6165018,10.596,0.263,0.0,0.048,0.0,1.0,0.9520000000000001,0.9520000000000001,0.9520000000000001,65.0,72.0,71.0,63.0,
1644445868.8168995,10.596,0.35,0.05,0.0,0.053,0.684,0.632,0.667,0.6,59.0,66.0,66.0,58.0,
1644445869.0171795,10.596,0.055999999999999994,0.0,0.0,0.0,0.9,0.9,0.9520000000000001,0.95,64.0,72.0,72.0,62.0,
1644445869.2174504,9.806,0.16699999999999998,0.0,0.0,0.0,0.95,0.9470000000000001,1.0,0.95,65.0,73.0,73.0,63.0,
1644445869.4177294,9.806,0.15,0.0,0.048,0.05,0.6,0.6,0.667,0.684,63.0,70.0,70.0,61.0,
1644445869.618,9.806,0.158,0.0,0.0,0.0,0.9470000000000001,0.9520000000000001,1.0,0.905,64.0,73.0,72.0,63.0,
1644445869.818305,9.806,0.25,0.0,0.0,0.1,0.636,0.619,0.75,0.684,60.0,67.0,68.0,59.0,
